X,T,P,Y
0.78,78.4834,0.0778737,0.800426
0.782,78.4789,0.0778901,0.801815
0.784,78.4745,0.0779063,0.80321
0.786,78.4702,0.0779223,0.804611
0.788,78.466,0.0779379,0.806018
0.79,78.4619,0.0779533,0.807432
0.792,78.4579,0.0779684,0.808853
0.794,78.454,0.0779833,0.81028
0.796,78.4502,0.0779978,0.811714
0.798,78.4464,0.0780121,0.813154
0.8,78.4428,0.0780262,0.814601
0.802,78.4393,0.0780399,0.816054
0.804,78.4358,0.0780534,0.817515
0.806,78.4325,0.0780666,0.818982
0.808,78.4293,0.0780795,0.820455
0.81,78.4261,0.0780921,0.821936
0.812,78.4231,0.0781045,0.823424
0.814,78.4201,0.0781165,0.824918
0.816,78.4173,0.0781283,0.826419
0.818,78.4146,0.0781398,0.827927
0.82,78.4119,0.078151,0.829443
0.822,78.4094,0.0781619,0.830965
0.824,78.4069,0.0781725,0.832494
0.826,78.4046,0.0781828,0.834031
0.828,78.4024,0.0781928,0.835574
0.83,78.4003,0.0782025,0.837125
0.832,78.3982,0.0782119,0.838683
0.834,78.3963,0.0782211,0.840249
0.836,78.3945,0.0782299,0.841821
0.838,78.3928,0.0782384,0.843401
0.84,78.3912,0.0782466,0.844989
0.842,78.3897,0.0782545,0.846583
0.844,78.3883,0.0782621,0.848185
0.846,78.387,0.0782694,0.849795
0.848,78.3859,0.0782764,0.851412
0.85,78.3848,0.078283,0.853037
0.852,78.3838,0.0782894,0.85467
0.854,78.383,0.0782954,0.85631
0.856,78.3829,0.0783011,0.857958
0.858,78.3823,0.0783065,0.859613
0.86,78.3814,0.0783116,0.86
0.862,78.381,0.0783164,0.862
0.864,78.3807,0.0783208,0.864
0.866,78.3806,0.0783249,0.866
0.868,78.3805,0.0783287,0.868
0.87,78.3806,0.0783322,0.87
0.872,78.3807,0.0783353,0.872
0.874,78.381,0.0783381,0.874
0.876,78.3814,0.0783406,0.876
0.878,78.382,0.0783427,0.876605
0.88,78.3826,0.0783445,0.878349
0.882,78.383,0.078344,0.880101
